,name,sub_type,management,ward_name,lga_name,state_name,geometry
12,Oracle University,Tertiary,,Hanwa,Sabon Gari,Kaduna,POINT (7.713347851280235 11.12351747704524)
13,Ahmadu Bello University Zaria,Tertiary,,Jama A,Sabon Gari,Kaduna,POINT (7.657397338272848 11.1545131312606)
14,Tiny Tots Secondary School Jushi,Adult Education,Private,Jushi,Sabon Gari,Kaduna,POINT (7.738921730000072 11.10482800100004)
15,Government Tech Coll Soba,Adult Education,Public,Soba,Soba,Kaduna,POINT (8.065364957000043 10.97255230000007)
16,Federal College Of Education,Tertiary,Public,Gyellesu,Zaria,Kaduna,POINT (7.731239391694163 11.08251051439915)
0,College Of Agricultural Sciences Olabisi Onabanjo University,Adult Education,Public,Imala,Abeokuta North,Ogun,POINT (3.061578333 7.240205)
1,Dot Institute Of Technology Wasinmi Ake,Adult Education,Private,Ake 1,Abeokuta South,Ogun,POINT (3.353321667 7.163056667)
2,School Of Nursing,Adult Education,Public,Oke Ijeun,Abeokuta South,Ogun,POINT (3.36143541306159 7.146209747259878)
3,Convenant University,Adult Education,Private,Iju,Ado Odo/Ota,Ogun,POINT (3.168058333 6.682355)
4,Crawford University,Adult Education,Public,Ketu,Ado Odo/Ota,Ogun,POINT (3.07565 6.59655)
5,Institute For Vocational And Innovative Enterprise,Adult Education,Private,Ebute,Yewa North,Ogun,POINT (2.8680517 6.8968583)
6,National Open Unversity,Adult Education,Public,Ilaro 1,Yewa South,Ogun,POINT (3.003481667 6.885793333)
7,Igbajo Polytechnic Ilaro Campus,Adult Education,Public,Ilaro 1,Yewa South,Ogun,POINT (3.004815 6.887418333)
8,Federal Polytechnic,Adult Education,Public,Ilaro 1,Yewa South,Ogun,POINT (2.9896583 6.88611)
9,Ekiti State University Consult,Adult Education,Public,Owode 2,Yewa South,Ogun,POINT (3.004741667 6.683458333)
10,Royal Health Institute,Adult Education,Private,Papa,Ewekoro,Ogun,POINT (3.192225 6.850261667)
11,Ifo College Of Management,Adult Education,Public,Ifo 1,Ifo,Ogun,POINT (3.20283 6.796083333)
12,Ogun State College Of Health Technology,Adult Education,Public,Imushin 1,Ijebu East,Ogun,POINT (3.9534234 6.8019333)
13,Olabisi Onabanjo University Ago Iwoye,Adult Education,Public,Ako Gelete,Ijebu North,Ogun,POINT (3.879615 6.928425)
14,Abraham Adesanya Polytechnic,Adult Education,Public,Atikori,Ijebu North,Ogun,POINT (4.0092712 7.0003271)
15,National Open University Awa Campus,Adult Education,Public,Oru/Awa,Ijebu North,Ogun,POINT (3.93101 6.96081)
16,Satos Ornamental School,Adult Education,Faith Based NGO Funded,Isoku/Ososa,Ijebu Ode,Ogun,POINT (3.968218333 6.826631667)
17,Alphagate College Of Health And Technology,Adult Education,Private,Odo Esa,Ijebu Ode,Ogun,POINT (3.939295 6.804375)
18,Ogun State School Of Nursing,Adult Education,Public,Odo Esa,Ijebu Ode,Ogun,POINT (3.9245108 6.8111932)
19,Polaris Maritime Academy,Adult Education,Private,Ilisan 1,Ikenne,Ogun,POINT (3.67261 6.923043333)
20,Social Development Institute,Adult Education,Public,Ilisan 1,Ikenne,Ogun,POINT (3.675806667 6.91143)
21,Babcock University School Of Law And Security Studies,Adult Education,Faith Based,Ilisan 1,Ikenne,Ogun,POINT (3.683431667 6.907363333)
22,Babcock University,Adult Education,Public,Ilisan 2,Ikenne,Ogun,POINT (3.71943 6.88871)
23,Wecare College Of Health Technology,Adult Education,Private,Iperu 1,Ikenne,Ogun,POINT (3.667446667 6.897721667)
24,College Of Education Study Center,Adult Education,Public,Idofa,Imeko Afon,Ogun,POINT (2.840543333 7.440635)
25,Ogun State Polytechnic,Adult Education,Public,Ipokia 1,Ipokia,Ogun,POINT (2.827703333 6.544576667)
26,The Football College Orile Imo,Adult Education,Private,Ajura,Obafemi Owode,Ogun,POINT (3.562112347000038 6.921314368000026)
27,Chrisland University,Adult Education,Private,Egbeda,Obafemi Owode,Ogun,POINT (3.396683333 7.140845)
28,Federal University Of Agriculture Abeokuta,Adult Education,Public,Alabata,Odeda,Ogun,POINT (3.450913333 7.226705)
29,Edexcel College Of Health Sciences And Technology,Adult Education,Private,Osiele,Odeda,Ogun,POINT (3.4615874 7.1954655)
30,Tai Solarin University Of Education Omu Ijebu,Adult Education,Public,Igbile,Odogbolu,Ogun,POINT (3.8644081 6.7043577)
31,Tai Solarin University Of Education Ijagun,Adult Education,Public,Ogbo,Odogbolu,Ogun,POINT (3.923946667 6.782813333)
32,Gateway Industrial Petro Gas Institute,Adult Education,Public,Iwopin 1,Ogun Waterside,Ogun,POINT (4.247216667 6.538553333)
